id	name	path	repo	revision	sizeBytes	multimodal	projectorPath	draftPath	active	served	servedAlias	defaultModel	createdAt	updatedAt
cmr3nep2p00003adapysmggv5	Gemma4-31B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M.gguf	/models/huggingface/staging/HauhauCS--Gemma4-31B-QAT-Uncensored-HauhauCS-Balanced-MTP/main/Gemma4-31B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M.gguf			18687062176	0			0	1	Gemma4-31B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M-06b67d18	0	2026-07-02T15:17:28.561+00:00	2026-07-04T01:04:27.389+00:00
cmr3nep2v00013adarpuzzass	M-SHQ8-MTP-OptA-Q5_K_M.gguf	/models/huggingface/staging/wepiqx--Qwythos-9B-Claude-Mythos-5-1M-MTP-SHQ8-GGUF/main/M-SHQ8-MTP-OptA-Q5_K_M.gguf			6878916800	0			0	1	M-SHQ8-MTP-OptA-Q5_K_M-69f462b8	0	2026-07-02T15:17:28.567+00:00	2026-07-04T01:04:27.390+00:00
cmr3nep2z00043adap5q6p71l	Qwen3.6-27B-UD-Q4_K_XL.gguf	/models/huggingface/staging/unsloth--Qwen3.6-27B-MTP-GGUF/main/Qwen3.6-27B-UD-Q4_K_XL.gguf			17909097600	0	/models/huggingface/hub/models--unsloth--Qwen3.6-27B-MTP-GGUF/snapshots/5cb35eb3dcbf52dbce5f87dbc64df6aaffadcace/mmproj-BF16.gguf		0	1	Qwen3.6-27B-UD-Q4_K_XL-79071309	0	2026-07-02T15:17:28.571+00:00	2026-07-04T01:04:27.391+00:00
19ffa6965a8840869c393a8f06a34df3	Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf	/models/huggingface/staging/unsloth--Qwen3.6-35B-A3B-MTP-GGUF/main/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf	unsloth/Qwen3.6-35B-A3B-MTP-GGUF	main	22853663008	1	/models/huggingface/staging/unsloth--Qwen3.6-35B-A3B-MTP-GGUF/main/mmproj-F16.gguf		1	1	Qwen3.6-35B-A3B-UD-Q4_K_XL-b420e923	1	2026-07-04T01:41:59.208Z	2026-07-04T01:41:59.208Z
cmr5kxgwn00007cdakfsrw0fq	gemma-4-12b-it-UD-Q8_K_XL.gguf	/models/huggingface/staging/unsloth--gemma-4-12b-it-GGUF/main/gemma-4-12b-it-UD-Q8_K_XL.gguf	unsloth/gemma-4-12b-it-GGUF		13637326240	0		/models/huggingface/staging/unsloth--gemma-4-12b-it-GGUF/main/mtp-gemma-4-12b-it.gguf	0	1	gemma-4-12b-it-UD-Q8_K_XL-01017739	0	2026-07-03T23:43:37.944+00:00	2026-07-04T01:04:27.388+00:00
cmr5kxgwp00017cda1uwo58m9	gemma-4-26B-A4B-it-UD-Q8_K_XL.gguf	/models/huggingface/staging/unsloth--gemma-4-26B-A4B-it-GGUF/main/gemma-4-26B-A4B-it-UD-Q8_K_XL.gguf	unsloth/gemma-4-26B-A4B-it-GGUF		27636230944	0		/models/huggingface/staging/unsloth--gemma-4-26B-A4B-it-GGUF/main/mtp-gemma-4-26B-A4B-it.gguf	0	1	gemma-4-26B-A4B-it-UD-Q8_K_XL-044a5cb5	0	2026-07-03T23:43:37.945+00:00	2026-07-04T01:04:27.389+00:00
cmr3nep2w00023adav0hchaa2	mmproj-BF16.gguf	/models/huggingface/hub/models--unsloth--Qwen3.6-27B-MTP-GGUF/snapshots/5cb35eb3dcbf52dbce5f87dbc64df6aaffadcace/mmproj-BF16.gguf	unsloth/Qwen3.6-27B-MTP-GGUF	5cb35eb3dcbf52dbce5f87dbc64df6aaffadcace	931146304	1			0	0		0	2026-07-02T15:17:28.568+00:00	2026-07-04T01:04:27.390+00:00
cmr5kxgwt00057cda11qtrq3q	mtp-gemma-4-12b-it.gguf	/models/huggingface/staging/unsloth--gemma-4-12b-it-GGUF/main/mtp-gemma-4-12b-it.gguf	unsloth/gemma-4-12b-it-GGUF		465109248	0			0	0		0	2026-07-03T23:43:37.949+00:00	2026-07-04T01:04:27.390+00:00
cmr5kxgwu00067cdaealg20xc	mtp-gemma-4-26B-A4B-it.gguf	/models/huggingface/staging/unsloth--gemma-4-26B-A4B-it-GGUF/main/mtp-gemma-4-26B-A4B-it.gguf	unsloth/gemma-4-26B-A4B-it-GGUF		461766816	0			0	0		0	2026-07-03T23:43:37.950+00:00	2026-07-04T01:04:27.391+00:00
cmr3nep2y00033adajf4nb99l	mtp-gemma-4-31B-it.gguf	/models/huggingface/staging/HauhauCS--Gemma4-31B-QAT-Uncensored-HauhauCS-Balanced-MTP/main/mtp-gemma-4-31B-it.gguf			279954368	0			0	0		0	2026-07-02T15:17:28.570+00:00	2026-07-04T01:04:27.391+00:00
