path	type	restore_policy
/models	models_and_runtime_data	do_not_commit_download_or_recreate
/models/huggingface	HF_cache_and_GGUFs	do_not_commit_download_or_recreate
/models/qwen3-tts	TTS_runtime_data_and_voices	not_in_git_back_up_if_voice_assets_matter
/models/wan2-video	video_jobs_outputs_and_legacy_runtime_data	do_not_commit_generated_outputs
/models/image-gen	image_models_and_outputs	do_not_commit_download_or_recreate
/models/whisper	whisper_models_and_transcripts	do_not_commit_download_or_recreate
/opt/qwen3-tts	external_repo	reclone_from_recorded_remote_and_sha
/opt/gpu45-video-api	local_video_controller	deployed_from_services_wan2_video_api
/opt/ltx2	experimental_video_stack	large_not_current_restore_core
/home/hendo420/src/flash-attention	experimental_build_source	reclone_from_recorded_remote_and_sha_if_needed
